"","person","family","community","county","province","age","gender","urban","vet","edu_yrs","lang","read_books","hours_tv","avg_sleep","smoked","coverage","govt_rating","welfare_housing","self-health","wechat","2020_employment","reason_unemployed","children","married","income_satis","income_rel","status_rel"
"17866",441020501,441020,-9,1896,43,16,0,1,-8,12,1,1,2,7,0,5,2,-8,3,1,-8,-8,2,-8,-8,79,2
"17867",130835103,574945,146539,177,11,27,0,1,-8,16,5,1,10,9,0,2,2,-8,3,1,-8,-8,0,2,4,3,3
"17868",130914105,575018,118700,46,13,28,0,0,-8,9,1,0,2,7,0,5,2,-8,1,1,99999,-8,6,2,5,3,2
"17869",441594103,575140,218300,128,44,27,0,1,-8,14,1,0,3,8,0,5,2,-8,2,1,62301,-8,2,2,-8,2,2
"17870",575140701,575140,218300,128,44,27,1,1,-8,9,1,1,3.5,6,1,5,3,-8,2,1,80000,-8,2,-8,4,2,2
"17871",441646105,575181,469620,121,44,27,0,1,-8,-9,5,0,7,8,0,78,5,-8,2,1,80000,-8,2,1,4,3,2
"17872",441745105,575259,954510,8381,44,26,1,1,-8,16,1,0,10,7,0,2,3,-8,3,1,-8,-8,0,1,4,3,2
"17873",441748102,575261,-9,128,44,68,0,1,-8,-9,1,0,7,8,0,3,1,-8,4,0,80000,77,1,2,-8,4,4
"17874",441748103,575261,-9,128,44,42,1,1,-8,-9,1,0,2.5,7,1,3,2,-8,1,1,-2,-8,1,2,5,3,3
"17875",441748104,575261,-9,128,44,16,1,1,-8,9,1,1,7,9,0,3,2,-8,1,1,-8,-8,1,-8,-8,79,4
"17876",441748401,575261,-9,128,44,11,0,1,-8,4,1,1,7,10,0,-8,-8,-8,1,0,-8,-8,1,-8,-8,79,5
"17877",140147103,5753002,467718,71,14,24,1,1,-8,15,1,0,15,7,1,5,3,-8,1,1,-8,-8,0,1,4,3,3
"17878",411486103,575495,655366,1606,41,33,1,1,-8,16,1,1,2,7,0,2,3,-8,2,1,-8,-8,2,1,4,3,4
"17879",450170104,450170,151031,2023,44,37,1,1,-8,9,1,0,0.5,8,1,5,2,-8,4,1,-8,-8,3,2,2,2,2
"17880",140567104,5755941,-9,72,14,25,1,-9,-8,12,1,1,7,8,1,5,3,-8,2,1,-8,-8,0,1,4,2,2
"17881",575594651,575594,-9,72,14,27,0,1,-8,15,1,1,2,10,0,5,2,-8,3,1,40101,2,0,3,2,1,3
"17882",450195105,575599,542312,1982,44,22,1,1,-8,15,1,0,7,8,1,2,3,-8,3,1,-8,-8,0,1,1,1,1
"17883",450199104,575603,-9,175,11,30,0,0,-8,19,1,1,20,7,0,2,3,-8,3,1,-8,-8,0,1,4,2,2
"17884",140659106,575670,590335,374,14,28,0,1,-8,15,1,1,20,6.5,0,2,2,-8,1,1,-8,-8,0,1,4,3,3
"17885",520202105,575716,-9,1079,33,23,0,1,-8,15,5,1,3,8,0,78,2,-8,3,1,-8,-8,1,1,4,3,2
"17886",140778101,575753,128500,71,14,46,1,1,-8,9,1,0,3,8,0,6,2,-8,5,1,-8,-8,0,2,4,2,3
"17887",140778105,575753,128500,71,14,23,0,1,-8,16,1,1,13,7,0,6,3,-8,1,1,-8,-8,0,1,4,3,3
"17888",140778106,575753,128500,71,14,19,1,1,-8,13,1,1,14,6,0,-1,2,-8,2,1,-8,-8,0,-8,-8,79,2
"17889",520289103,575774,497076,1985,44,31,1,1,-8,15,1,1,2,7,0,2,2,-8,2,1,-8,-8,0,1,4,3,2
"17890",500176103,575838,-9,2010,44,29,1,0,-8,12,1,0,1,7,1,5,1,-8,3,1,-8,-8,1,1,4,2,1
"17891",110051104,576080,797621,170,11,36,0,1,-8,12,1,1,7,7,0,2,2,-8,2,1,-8,-8,1,2,4,3,3
"17892",159466501,576080,797621,170,11,37,1,1,-8,16,1,1,2,-8,1,4,3,2021,5,1,-8,-8,1,2,4,3,2
"17893",165234401,576166,867489,10,32,11,0,1,-8,4,1,1,1,8,0,-8,-8,-8,2,1,-8,-8,3,-8,-8,79,2
"17894",320280103,576166,867489,10,32,34,0,1,-8,12,1,0,14,8,0,6,2,-8,3,1,-8,-8,3,2,4,2,2
"17895",576166601,576166,867489,10,32,34,1,1,-8,15,1,1,14,7,1,2,2,-8,3,1,-8,-8,3,2,3,3,3
